funcname,n,seconds
bubble-uniform,10,0.005
bubble-almost,10,0
bubble-uniform,100,0.01
bubble-almost,100,0
bubble-uniform,1000,1.02
bubble-almost,1000,0.68
bubble-uniform,10000,101.14
bubble-almost,10000,68.48
insertion-uniform,10,0
insertion-almost,10,0
insertion-uniform,100,0
insertion-almost,100,0
insertion-uniform,1000,0.085
insertion-almost,1000,0.005
insertion-uniform,10000,8.275
insertion-almost,10000,0.045
spin-uniform,10,0.005
spin-almost,10,0
spin-uniform,100,0.065
spin-almost,100,0.07
spin-uniform,1000,9.615
spin-almost,1000,7.605
spin-uniform,10000,1080.16
spin-almost,10000,931.92
shell-uniform,10,0
shell-almost,10,0
shell-uniform,100,0
shell-almost,100,0
shell-uniform,1000,0.005
shell-almost,1000,0.005
shell-uniform,10000,0.36
shell-almost,10000,0.075
annealing-uniform,10,0.015
annealing-almost,10,0.005
annealing-uniform,100,0.015
annealing-almost,100,0.015
annealing-uniform,1000,1.33
annealing-almost,1000,1.31
annealing-uniform,10000,124.465
annealing-almost,10000,123.785
